source_product_id,brand,source
WAPDZMHA3GEKDFRY,aquaguard,1
631166933,eureka,4
631166933,eureka,3
WAPDZMHAM8GUBFZC,aquaguard,1
WAPDZMHAHCSNSHVG,aquaguard,1
WAPE8X4XRQF8AN6M,aquaguard,1
1337249979,eureka,4
1337249979,eureka,3
WAPDZMHASQF9TWBM,aquaguard,1
WAPDZMHA5EJMXJYZ,aquaguard,1
WAPDZMHAB2BHQK7E,aquaguard,1
WAPEEDNTZBW7HHJE,aquaguard,1
WAPDZMHAHFZYAQKH,aquaguard,1
WAPDZMHAERKAKUTV,aquaguard,1
WAPDZMHAWWW6YRRQ,aquaguard,1
WAPEEXC3PSCNCPF2,aquaguard,1
WAPEEW75GSZNVCYB,aquaguard,1
1469408,eureka,4
1469408,eureka,3
WAPDZMHANUEHU7HK,aquaguard,1
WAPEG7YDXHWGXMYX,aquaguard,1
WAPEG7YFM22PKPJG,aquaguard,1
WAPEG7YD7DEDCPR6,aquaguard,1
1153231580,eureka,4
1153231580,eureka,3
WAPE2JF7H9H9WRXY,eureka,1
184915,eureka,4
184915,eureka,3
B008QE1OIO,eureka,3
WAPD4NTZ3ESEHDYZ,eureka,1
B0095S9JU0,eureka,3
WAPD4NTZENXUHWMU,eureka,1
WAPE6CHQGEAAKV2R,eureka,1
WAPD4NTZGS3E6DZ8,eureka,1
184911,eureka,4
184911,eureka,3
WAPE8VT3DHKJ4XFM,eureka,1
184916,eureka,4
B009D9MQRE,eureka,3
WAPD4NTZZWZGHHVF,eureka,1
551809125,eureka,4
551809125,eureka,3
WAPE2JF7FCZDHE9G,eureka,1
WAPEFJWXJGSK39MP,eureka,1
1504720336,eureka,4
1504720336,eureka,3
B00E9G8EMW,eureka,3
WAPE37FRYPACQM8C,eureka,1
B00E9HJF2Y,eureka,3
WAPDHEFBFWUGZZDM,eureka,1
B00WQTY5MC,eureka,3
WAPEF9XGARUVJWAU,eureka,1
WAPE4Y2UQYERGU8Z,eureka,1
WAPE7CZ9KQPGZCCZ,eureka,1
WAPD5EQBAZAHKPFH,eureka,1
B00W0YWAKC,hul,3
WAPD4FN2GGXN62NA,hul,1
1791211389,kent,4
B00O1R33WK,kent,3
WAPEYP8TTRTWC5VD,kent,1
WAPE9AFVH3ARP7AZ,kent,1
83841,kent,4
B0085KK9OY,kent,3
WAPD3YAMZSQVAGHG,kent,1
83835,kent,4
B009DA69W6,kent,3
WAPD3YAM69YXVRWR,kent,1
83846,kent,4
WAPD3YAMXY6YCMSQ,kent,1
83834,kent,4
WAPD3YAM7QNSEWFB,kent,1
1320838802,kent,4
B00GX91YA2,kent,3
WAPDR3JP6Z2HWYRG,kent,1
B0073QJ32A,kent,3
WAPE2ENFR9YTHPMY,kent,1
B0073QIZS8,kent,3
WAPD3YAMXER5XY99,kent,1
B008LN6156,kent,3
WAPD3YAM9CHDYHHF,kent,1
83839,kent,4
B0073QJ2F8,kent,3
WAPD3YAMYKAEJNNU,kent,1
83845,kent,4
WAPD3YAMHFMNQCYH,kent,1
WAPEDP69PZGZBYDU,kent,1
83844,kent,4
B009DA68CM,kent,3
WAPD3YAMX6AG75YS,kent,1
1052157447,kent,4
WAPEDD6VURCWUZPG,kent,1
WAPEHDB3TES4VQZF,kent,1
WAPD3YAMRRZH3BQH,kent,1
B0073QKROI,kent,3
WAPD3YAMTBJAD5FJ,kent,1
WAPEYP8TFPXEHGGB,kent,1
WAPEG2XHH4SUBF3A,lg,1
1637442675,livpure,4
WAPEA28QEMEVFWRE,panasonic,1
WAPEG7AWSAJFN7UG,panasonic,1
WAPEDF3HGVNZD7QT,panasonic,1
WAPEDEABQYSEDTZZ,panasonic,1
1391605613,prestige,4
419857,pureit,4
WAPEFQY5ZD8HQDMX,pureit,1
419856,pureit,4
419854,pureit,4
WAPEFQY5CNHFYZBM,pureit,1
419852,pureit,4
WAPEFQY5YEWY4ZGT,pureit,1
B01EVFH6RE,pureit,3
WAPEGZ4P47Z9TRBZ,pureit,1
WAPEDZ7R4PUHUBYD,pureit,1
WAPEFWF6WDBMZYFT,pureit,1
WAPEFQY5HQHRRPGX,pureit,1
1976651163,pureit,4
WAPEFQY5NMDMGGXY,pureit,1
419860,pureit,4
WAPEFQY5EYZ5TFHQ,pureit,1
WAPEEQGZRX78VQNJ,pureit,1
297781103,pureit,4
B00I8QV2VY,hul,3
WAPEH28JNZWQHCZZ,pureit,1
WAPEYXA2CVGSFYHF,tata,1
1400326,tata,4
WAPDYD3HUXJXHXYK,tata,1
430184922,tata,4
B00QEYWRNY,tata,3
WAPE28P4EGSRJD4K,tata,1
82913100,tata,4
B00KQGG746,tata,3
401179183,tata,4
847307314,tata,4
B008LN5ZWG,tata,3
WAPD57R2A8ZQPHJY,tata,1
1938863980,tata,4
WAPEYXA2KAVQZ4RK,tata,1
786255162,tata,4
B00KJZLYK6,tata,3
WAPDZ5UGZVHHQ6HG,tata,1
916222188,tata,4
B00QEYWV8U,tata,3
WAPE28P4D6UCZEQB,tata,1
WAPECF93ZFTHFCHT,whirlpool,1
WAPEFUBX2NVFR55M,whirlpool,1
B01H1J02D2,a.o.smith,3
B01H1J015Q,a.o.smith,3
1489964613,kent,4
B00GX9GFHO,kent,3
WAPEKKUTGMNP3PHX,pureit,1
WAPEZDHGVXTKXYTX,blue,1
B01M03KMTU,blue,3
B01M03KR2C,blue,3
B01M12RGK1,blue,3
WAPEBPFVECBHV8N7,livpure,1
WAPEPQJUX5Y9Q32Z,moonbow,1
WAPEV3SF9MQRZUYJ,aqua,1
WAPEW8YMDKUN6RE9,livpure,1
WAPEW8YKNGJGGPQE,livpure,1
WAPEW8UTRGZHQAJH,protek,1
WAPEWFVHFPKZFVZ2,protek,1
WAPEXEV69AZFY3NK,protek,1
B01MYEXPJZ,hul,3
WAPEWGRNPKYYH5YK,nasaka,1
WAPD4NTZVTWWKNZT,eureka,1
WAPE376JNXYVNS2P,aquaguard,1
WAPE37FRXMR2ZFGS,eureka,1
WAPE39BZSV73AGTH,aquaguard,1
WAPE7CHUZXZCNVPJ,eureka,1
WAPEBR5PHWJ6VDMC,eureka,1
WAPECB57DGNS7JHZ,eureka,1
WAPECGTFCZDCNSHW,eureka,1
WAPECQN95A4KJQMT,eureka,1
WAPECR24ZWZJBHHH,aquaguard,1
WAPEES2HBNFRW33B,eureka,1
WAPEEXCN5GZ4QZSJ,aquaguard,1
WAPEHQDXCUU4QCGW,aquaguard,1
WAPEHQG25ZPZ6QC4,aquaguard,1
WAPEJCAHUEGWJM9Y,aquaguard,1
WAPEJH83EEYP7R3Z,aquaguard,1
WAPEKYDUGDGT9CTH,eureka,1
WAPEKYDVCVGXQJZA,eureka,1
WAPEPDFDGVGKK8KV,eureka,1
WAPERFC2RH4BHSZ8,eureka,1
WAPETERQCFFHHS4A,aquaguard,1
WAPETESCHNARYUGG,aquaguard,1
WAPETF2FH4G9CBZ8,aquaguard,1
WAPETFFY4C9VCMHK,aquaguard,1
WAPETHKXZZSK7NA9,aquaguard,1
WAPEVR34QPG7KQNN,aquaguard,1
WAPEWU77KK3AHDXH,eureka,1
WAPEYDC9DCKU6YHE,aquaguard,1
WAPEYYNAFBPFCFVJ,aquaguard,1
B008LN5YA4,eureka,3
B0095PD2OC,eureka,3
B0095SCWYU,eureka,3
B009D9MR2S,eureka,3
B009D9MROG,eureka,3
B009WJX728,eureka,3
B00E9G8IR8,eureka,3
B00GNZHAAE,eureka,3
B00HPTMP1Q,eureka,3
B00HPTMQ1K,eureka,3
B00HPTMS3G,eureka,3
B00HPTMT2G,eureka,3
B00HPTMVQK,eureka,3
B00HPTMWP0,eureka,3
B00HPTMZB6,eureka,3
B00HPTN04C,eureka,3
B00LHIZQYE,eureka,3
B00M6MC4VS,eureka,3
B00M6MC7B0,eureka,3
B00NL7LBES,eureka,3
B00WQTWXKS,eureka,3
B00WQTXCNK,eureka,3
B00WQTXL4K,eureka,3
B00WQTXUWI,eureka,3
B00WQTYGWG,eureka,3
B010SDNDFM,eureka,3
B01AG5FTUY,eureka,3
B01AG5FTYU,eureka,3
B01AG5FTZ4,eureka,3
B01AXZLVIG,eureka,3
B01IRAJVJK,eureka,3
B01IT225FI,eureka,3
B01IT3AD5G,eureka,3
B01ITDNVRS,eureka,3
B01ITL984K,eureka,3
B01IVQZB6W,eureka,3
B01J18HGIA,eureka,3
B01M7NEFVL,dr.,3
B01MAUBY60,dr.,3
B01MRC9Y44,eureka,3
B01N2LFLDK,eureka,3
B06WWJY3RZ,eureka,3
B06XR2GY5G,eureka,3
B06Y6MZPWN,eureka,3
B0719R4NF2,eureka,3
B072Q337G8,eureka,3
B075VV4J54,eureka,3
