Brand_name,Trend_Total_Reviews_positive,Total_review_fragments,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
revlon,655,882,171,0.26106870229007634,15,0.022900763358778626,469,0.716030534351145
colorbar,5858,7449,598,0.10208262205530898,655,0.11181290542847389,4605,0.7861044725162172
maybelline,48371,61729,5351,0.11062413429534225,8757,0.1810382253829774,34263,0.7083376403216803
loreal,14577,20498,2234,0.15325512794127735,1931,0.13246895794745148,10412,0.7142759141112712
coloressence,1558,2090,256,0.1643132220795892,140,0.08985879332477535,1162,0.7458279845956355
lakme,28054,37563,3010,0.10729307763598774,7531,0.26844656733442646,17513,0.6242603550295858
cameleon,152,193,84,0.5526315789473685,68,0.4473684210526316,0,0.0
chambor,210,243,19,0.09047619047619047,32,0.1523809523809524,159,0.7571428571428571
teen,128,199,128,1.0,0,0.0,0,0.0
glam,123,174,76,0.6178861788617886,47,0.3821138211382114,0,0.0
kveda,75,110,53,0.7066666666666667,22,0.29333333333333333,0,0.0
mn,181,290,81,0.44751381215469616,100,0.5524861878453039,0,0.0
diana,497,713,153,0.30784708249496984,344,0.6921529175050302,0,0.0
lotus,2162,3027,283,0.13089731729879742,609,0.2816836262719704,1270,0.5874190564292322
hilary,183,257,160,0.8743169398907104,23,0.12568306010928962,0,0.0
rimmel,826,1036,19,0.023002421307506054,0,0.0,807,0.9769975786924939
7_heaven,248,387,226,0.9112903225806451,22,0.08870967741935484,0,0.0
music,2363,3250,1158,0.49005501481168007,1205,0.5099449851883199,0,0.0
faces,6548,7951,147,0.022449602932193037,766,0.11698228466707392,5635,0.860568112400733
kudos,12,21,12,1.0,0,0.0,0,0.0
me,104,155,104,1.0,0,0.0,0,0.0
hr,201,277,201,1.0,0,0.0,0,0.0
mars,111,193,59,0.5315315315315315,52,0.46846846846846846,0,0.0
meilin,36,73,19,0.5277777777777778,17,0.4722222222222222,0,0.0
incolor,250,334,217,0.868,33,0.132,0,0.0
hope,6,8,6,1.0,0,0.0,0,0.0
avon,359,497,57,0.15877437325905291,61,0.16991643454038996,241,0.6713091922005571
essence,1107,1444,13,0.011743450767841012,62,0.05600722673893405,1032,0.9322493224932249
c_a_l_los_angeles,185,301,56,0.3027027027027027,129,0.6972972972972973,0,0.0
oriflame,230,392,201,0.8739130434782608,29,0.12608695652173912,0,0.0
castillo,22,39,22,1.0,0,0.0,0,0.0
ads,401,786,150,0.3740648379052369,251,0.6259351620947631,0,0.0
blue,2963,3707,344,0.1160985487681404,338,0.114073574080324,2281,0.7698278771515356
insight,186,242,54,0.2903225806451613,132,0.7096774193548387,0,0.0
maybeline,157,277,157,1.0,0,0.0,0,0.0
,5,5,5,1.0,0,0.0,0,0.0
glam21,109,163,109,1.0,0,0.0,0,0.0
forteens,24,38,24,1.0,0,0.0,0,0.0
max,5,9,1,0.2,4,0.8,0,0.0
deborah,260,318,9,0.03461538461538462,32,0.12307692307692308,219,0.8423076923076923
star,5,12,5,1.0,0,0.0,0,0.0
sivanna,34,48,34,1.0,0,0.0,0,0.0
br,24,57,22,0.9166666666666666,2,0.08333333333333333,0,0.0
makeup,3808,4532,364,0.09558823529411764,11,0.002888655462184874,3433,0.9015231092436975
mua,81,118,44,0.5432098765432098,0,0.0,37,0.4567901234567901
balm,4,6,4,1.0,0,0.0,0,0.0
freedom,439,507,94,0.214123006833713,0,0.0,345,0.785876993166287
arezia,11,16,11,1.0,0,0.0,0,0.0
vlcc,443,545,62,0.1399548532731377,300,0.6772009029345373,81,0.18284424379232506
shahnaz,31,41,26,0.8387096774193549,5,0.16129032258064516,0,0.0
mac,437,545,11,0.02517162471395881,0,0.0,426,0.9748283752860412
soultree,131,158,40,0.3053435114503817,0,0.0,91,0.6946564885496184
iba,50,61,14,0.28,0,0.0,36,0.72
plum,3754,4615,234,0.06233351092168354,0,0.0,3520,0.9376664890783165
glitters,13,21,13,1.0,0,0.0,0,0.0
high,277,385,277,1.0,0,0.0,0,0.0
bonjour,19,31,6,0.3157894736842105,13,0.6842105263157895,0,0.0
amura,29,42,29,1.0,0,0.0,0,0.0
cover,65,97,56,0.8615384615384616,9,0.13846153846153847,0,0.0
personi,7,14,7,1.0,0,0.0,0,0.0
smolder,26,44,0,0.0,26,1.0,0,0.0
bobbi,146,184,2,0.0136986301369863,5,0.03424657534246575,139,0.952054794520548
nyx,856,1102,6,0.007009345794392523,20,0.02336448598130841,830,0.969626168224299
elf,18,31,1,0.05555555555555555,17,0.9444444444444444,0,0.0
kodiake,14,18,0,0.0,14,1.0,0,0.0
inglot,196,242,0,0.0,52,0.2653061224489796,144,0.7346938775510204
l,15,18,0,0.0,10,0.6666666666666666,5,0.3333333333333333
natio,46,65,1,0.021739130434782608,10,0.21739130434782608,35,0.7608695652173914
biotique,515,714,0,0.0,10,0.019417475728155338,505,0.9805825242718447
elle,2109,2705,0,0.0,1386,0.6571834992887624,723,0.34281650071123754
emaxdesign,12,14,0,0.0,12,1.0,0,0.0
color,68,136,15,0.22058823529411764,53,0.7794117647058824,0,0.0
extreme,6,16,0,0.0,6,1.0,0,0.0
transparent,9,21,0,0.0,9,1.0,0,0.0
girl,4,10,0,0.0,4,1.0,0,0.0
simply,15,20,0,0.0,15,1.0,0,0.0
kiss,110,170,53,0.4818181818181818,57,0.5181818181818182,0,0.0
beauty,24,38,3,0.125,21,0.875,0,0.0
heavens,94,136,0,0.0,94,1.0,0,0.0
covergirl,0,7,0,0.0,0,0.0,0,0.0
eyeliner,18,26,0,0.0,18,1.0,0,0.0
neev,15,31,0,0.0,15,1.0,0,0.0
liner,6,19,0,0.0,6,1.0,0,0.0
long,4,6,0,0.0,4,1.0,0,0.0
elenblu,17,23,0,0.0,17,1.0,0,0.0
colors,66,92,0,0.0,66,1.0,0,0.0
600pcs,2,3,0,0.0,2,1.0,0,0.0
smokey,2,5,0,0.0,2,1.0,0,0.0
menow,208,272,6,0.028846153846153848,202,0.9711538461538461,0,0.0
patanjali,12,20,0,0.0,12,1.0,0,0.0
roseleaf,8,8,0,0.0,8,1.0,0,0.0
stars,28,53,0,0.0,28,1.0,0,0.0
7_heavens,70,77,0,0.0,70,1.0,0,0.0
anna,27,43,0,0.0,27,1.0,0,0.0
milani,10,13,0,0.0,0,0.0,10,1.0
nykaa,4600,5207,0,0.0,0,0.0,4600,1.0
wet,456,574,0,0.0,0,0.0,456,1.0
l_a_girl,3866,4518,0,0.0,0,0.0,3866,1.0
garnier,184,225,0,0.0,0,0.0,184,1.0
nicka,92,127,22,0.2391304347826087,0,0.0,70,0.7608695652173914
himalaya,121,147,0,0.0,11,0.09090909090909091,110,0.9090909090909091
pac,47,52,0,0.0,0,0.0,47,1.0
mib,98,110,0,0.0,0,0.0,98,1.0
buy,29,33,0,0.0,0,0.0,29,1.0
innisfree,144,171,0,0.0,0,0.0,144,1.0
thebalm,297,330,0,0.0,0,0.0,297,1.0
australis,26,34,0,0.0,0,0.0,26,1.0
the,20,21,0,0.0,0,0.0,20,1.0
street,118,165,0,0.0,0,0.0,118,1.0
sugar,913,1124,0,0.0,0,0.0,913,1.0
ardell,393,469,0,0.0,0,0.0,393,1.0
bharat,35,55,0,0.0,0,0.0,35,1.0
ciate,25,36,0,0.0,0,0.0,25,1.0
fabindia,22,27,0,0.0,0,0.0,22,1.0
freshlook,33,37,0,0.0,0,0.0,33,1.0
gala,300,373,0,0.0,0,0.0,300,1.0
lord,10,12,0,0.0,0,0.0,10,1.0
qumeidie,101,139,92,0.9108910891089109,9,0.0891089108910891,0,0.0
miss,40,64,36,0.9,4,0.1,0,0.0
cameo,19,35,19,1.0,0,0.0,0,0.0
color4ever,5,10,5,1.0,0,0.0,0,0.0
meylon,12,24,12,1.0,0,0.0,0,0.0
brndey,1,4,1,1.0,0,0.0,0,0.0
estee,5,5,5,1.0,0,0.0,0,0.0
vov,11,24,11,1.0,0,0.0,0,0.0
chantecaille,4,4,0,0.0,4,1.0,0,0.0
eucerin,4,6,0,0.0,4,1.0,0,0.0
jovees,11,14,0,0.0,11,1.0,0,0.0
heaven,7,15,0,0.0,7,1.0,0,0.0
mahavir,9,11,0,0.0,9,1.0,0,0.0
evuar,24,32,0,0.0,24,1.0,0,0.0
vozwa,12,16,0,0.0,12,1.0,0,0.0
glams,28,34,0,0.0,28,1.0,0,0.0
himalayaka,13,13,0,0.0,13,1.0,0,0.0
clinique,13,15,8,0.6153846153846154,5,0.38461538461538464,0,0.0
lancome,2,7,2,1.0,0,0.0,0,0.0
glamcom,13,20,13,1.0,0,0.0,0,0.0
celebrity,5,5,5,1.0,0,0.0,0,0.0
out,2,14,1,0.5,1,0.5,0,0.0
body,2,4,2,1.0,0,0.0,0,0.0
urban,26,71,26,1.0,0,0.0,0,0.0
leol,5,8,5,1.0,0,0.0,0,0.0
benefit,2,2,0,0.0,2,1.0,0,0.0
great,2,2,0,0.0,2,1.0,0,0.0
aloe,2,6,0,0.0,2,1.0,0,0.0
my,3,3,0,0.0,3,1.0,0,0.0
eye,2,2,0,0.0,2,1.0,0,0.0
perfect,4,12,0,0.0,4,1.0,0,0.0
fashion,6,8,0,0.0,6,1.0,0,0.0
kajal,5,13,0,0.0,5,1.0,0,0.0
combo,2,3,0,0.0,2,1.0,0,0.0
cal,4,11,4,1.0,0,0.0,0,0.0
one,0,2,0,0.0,0,0.0,0,0.0
makeover,2,3,2,1.0,0,0.0,0,0.0
insiti,2,3,2,1.0,0,0.0,0,0.0
laura,1,2,1,1.0,0,0.0,0,0.0
n,15,20,15,1.0,0,0.0,0,0.0
m,0,1,0,0.0,0,0.0,0,0.0
ambitione,1,8,1,1.0,0,0.0,0,0.0
ramose,2,2,2,1.0,0,0.0,0,0.0
elizabeth,2,2,2,1.0,0,0.0,0,0.0
black,4,4,0,0.0,4,1.0,0,0.0
italia,0,3,0,0.0,0,0.0,0,0.0
schwing,4,4,0,0.0,4,1.0,0,0.0
moisturising,1,2,0,0.0,1,1.0,0,0.0
hittime,0,2,0,0.0,0,0.0,0,0.0
now,1,2,0,0.0,1,1.0,0,0.0
elle18,2,2,0,0.0,2,1.0,0,0.0
invisible,1,3,0,0.0,1,1.0,0,0.0
nelf,0,1,0,0.0,0,0.0,0,0.0
c2p,2,3,0,0.0,2,1.0,0,0.0
swiss,1,1,0,0.0,1,1.0,0,0.0
ultra,0,1,0,0.0,0,0.0,0,0.0
lorac,0,1,0,0.0,0,0.0,0,0.0
absolute,1,1,0,0.0,0,0.0,1,1.0
