Sum of positive percentage,Column Labels,,,,,,,,,,,,,
,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,Grand Total
colorbar,63.81322957,88.40336134,66.75603217,42.59259259,69.30232558,83.09859155,72.13483146,76.72634271,85.17647059,91.66666667,88.04780876,70,90.90909091,988.6273439
lakme,69.47275144,74.71264368,64.2228739,78.7987988,65.44039618,77.52148349,61.51515152,78.09248555,77.44433688,75.60313631,86.03174603,83.22981366,80,972.0856174
loreal,75.16339869,55.76619273,65.91549296,54.98489426,60.88957055,46.58187599,66.92307692,73.46153846,64.41223833,63.87959866,61.80555556,79.80456026,81.72043011,851.3084235
mac,88.06970509,87.18703976,87.08860759,90.22988506,92.24137931,84.52655889,86.92307692,88.4751773,86.77248677,87.32876712,91.74041298,91.46919431,91.95402299,1154.006314
maybelline,55.23202912,68.85895404,69.85781991,61.0056926,68.47575058,66.3524293,63.61607143,69.28961749,56.16541353,49.46043165,68.67891514,72.87356322,75.54858934,845.4152773
Grand Total,351.7511139,374.9281916,353.8408265,327.6118633,356.3494222,358.0809392,351.1122083,386.0451615,369.9709461,367.9386004,396.3044385,397.3771315,420.1321333,4811.442976
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,
colorbar,63.81322957,88.40336134,66.75603217,42.59259259,69.30232558,83.09859155,72.13483146,76.72634271,85.17647059,91.66666667,88.04780876,70,90.90909091,
lakme,69.47275144,74.71264368,64.2228739,78.7987988,65.44039618,77.52148349,61.51515152,78.09248555,77.44433688,75.60313631,86.03174603,83.22981366,80,
mac,88.06970509,87.18703976,87.08860759,90.22988506,92.24137931,84.52655889,86.92307692,88.4751773,86.77248677,87.32876712,91.74041298,91.46919431,91.95402299,
maybelline,55.23202912,68.85895404,69.85781991,61.0056926,68.47575058,66.3524293,63.61607143,69.28961749,56.16541353,49.46043165,68.67891514,72.87356322,75.54858934,
loreal,75.16339869,55.76619273,65.91549296,54.98489426,60.88957055,46.58187599,66.92307692,73.46153846,64.41223833,63.87959866,61.80555556,79.80456026,81.72043011,